"COD_CURSO","NOME_CURSO","ANO_INGRESSO","PERIODO_INGRESSO","ANO_EVASAO","FORMA_INGRESSO","PERIODO_EVASAO","FORMA_EVASAO","CRA","CRN","COTISTA","NUM_VERSAO","DT_SAIDA","DT_SAIDA_1","SEXO","ETNIA","TURNO_CURSO","SEM_INGRESSO","RETENCAO_PERIODOS","RETENCAO_MESES","NOMEE_CURSO","MODALIDADE","FORMA_EVASAO_limpo","id_estudante","hash_completo"
"10 B","Física - Bacharelado",2022,"1º Semestre",2025,"Sisu","1º Semestre","Desligamento",8.58,6.3902,"N","2018","27/05/2025","27/05/2025","F","Parda","Integral",1,6,36,"Física","Bacharelado","Desligamento",1,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2022,"1º Semestre",2022,"Sisu","1º Semestre","Desistência",0,5,"S","2018","17/08/2022","17/08/2022","M","Branca","Integral",1,0,0,"Física","Bacharelado","Desistência",2,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2017,"1º Semestre",2019,"Sisu","1º Semestre","Desistência",1.12,2.7958,"S","2008","30/07/2019","30/07/2019","M","Parda","Integral",1,4,24,"Física","Bacharelado","Desistência",3,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2021,"1º Semestre",2024,"Sisu","1º Semestre","Desistência",4.31,4.4122,"S","2018","29/04/2024","29/04/2024","M","Branca","Integral",1,6,36,"Física","Bacharelado","Desistência",4,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2019,"1º Semestre",2023,"Sisu","2º Semestre","Formado",6.95,15.4757,"N","2008","23/02/2024","23/02/2024","M","Branca","Integral",1,9,54,"Física","Bacharelado","Formado",5,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2020,"1º Semestre",2024,"Sisu","1º Semestre","Formado",8.96,16.5596,"N","2018","31/07/2024","31/07/2024","M","Parda","Integral",1,8,48,"Física","Bacharelado","Formado",6,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2016,"2º Semestre",2022,"Transferência Facultativa","1º Semestre","Desligamento: Resolução 68/2017-CEPE",3.53,4.0596,"N","2008","01/09/2022","01/09/2022","M","Não quis declarar","Integral",2,11,66,"Física","Bacharelado","Desligamento",7,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2021,"1º Semestre",2025,"Sisu","1º Semestre","Desligamento",0.23,2.6695,"S","2018","27/05/2025","27/05/2025","M","Parda","Integral",1,8,48,"Física","Bacharelado","Desligamento",8,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2015,"2º Semestre",2023,"Novo Curso","1º Semestre","Desligamento: Resolução 68/2017-CEPE",6.15,5.1716,"N","2008","31/08/2023","31/08/2023","M","Branca","Integral",2,15,90,"Física","Bacharelado","Desligamento",9,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2014,"1º Semestre",2022,"Vestibular","2º Semestre","Formado",4.56,14.3719,"S","2008","24/03/2023","24/03/2023","F","Preta","Integral",1,17,102,"Física","Bacharelado","Formado",10,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2015,"1º Semestre",2017,"Vestibular","2º Semestre","Reopção de curso",4.01,4.1704,"N","2008","22/08/2017","22/08/2017","M","Parda","Integral",1,5,30,"Física","Bacharelado","Transferência",11,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2023,"1º Semestre",2023,"Sisu","1º Semestre","Desistência",2.86,3.6365,"N","2018","11/08/2023","11/08/2023","F","Branca","Integral",1,0,0,"Física","Bacharelado","Desistência",12,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2021,"1º Semestre",2021,"Sisu","1º Semestre","Desistência",0,5,"S","2018","16/06/2021","16/06/2021","M","Branca","Integral",1,0,0,"Física","Bacharelado","Desistência",13,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2014,"1º Semestre",2020,"Vestibular","1º Semestre","Desistência",4.93,4.9174,"N","2008","09/03/2020","09/03/2020","M","Parda","Integral",1,12,72,"Física","Bacharelado","Desistência",14,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2019,"1º Semestre",2020,"Sisu","1º Semestre","Desistência",6.99,5.8951,"N","2008","03/09/2020","03/09/2020","F","Parda","Integral",1,2,12,"Física","Bacharelado","Desistência",15,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2020,"1º Semestre",2023,"Sisu","1º Semestre","Desligamento: Resolução 68/2017-CEPE",0,2.5332,"S","2018","31/08/2023","31/08/2023","F","Parda","Integral",1,6,36,"Física","Bacharelado","Desligamento",16,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2017,"1º Semestre",2017,"Sisu","1º Semestre","Transferido",5.37,5,"N","2008","14/08/2017","14/08/2017","F","Branca","Integral",1,0,0,"Física","Bacharelado","Transferência",17,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2019,"1º Semestre",2019,"Sisu","1º Semestre","Desistência",0,5,"N","2008","09/05/2019","09/05/2019","F","Branca","Integral",1,0,0,"Física","Bacharelado","Desistência",18,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2018,"1º Semestre",2021,"Sisu","2º Semestre","Desligamento: Resolução 68/2017-CEPE",0,2.7405,"S","2008","23/12/2021","23/12/2021","F","Parda","Integral",1,7,42,"Física","Bacharelado","Desligamento",19,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2018,"1º Semestre",2019,"Sisu","1º Semestre","Desistência",0.19,2.3599,"S","2008","01/02/2019","01/02/2019","F","Parda","Integral",1,2,12,"Física","Bacharelado","Desistência",20,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2022,"1º Semestre",2022,"Sisu","1º Semestre","Desistência",0,5,"S","2018","26/04/2022","26/04/2022","F","Parda","Integral",1,0,0,"Física","Bacharelado","Desistência",21,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2021,"1º Semestre",2021,"Sisu","1º Semestre","Desistência",1,5,"N","2018","26/10/2021","26/10/2021","F","Branca","Integral",1,0,0,"Física","Bacharelado","Desistência",22,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2019,"1º Semestre",2023,"Sisu","1º Semestre","Desistência",1.93,3.1926,"S","2008","21/07/2023","21/07/2023","F","Branca","Integral",1,8,48,"Física","Bacharelado","Desistência",23,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2023,"1º Semestre",2023,"Sisu","2º Semestre","Desistência",0.25,2.6404,"S","2018","30/08/2023","30/08/2023","F","Preta","Integral",1,1,6,"Física","Bacharelado","Desistência",24,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2020,"1º Semestre",2020,"Sisu","1º Semestre","Desistência",0,25,"N","2018","09/03/2020","09/03/2020","F","Parda","Integral",1,0,0,"Física","Bacharelado","Desistência",25,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2015,"1º Semestre",2019,"Vestibular","1º Semestre","Reopção de curso",4.32,4.2753,"N","2008","24/07/2019","24/07/2019","F","Parda","Integral",1,8,48,"Física","Bacharelado","Transferência",26,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2013,"1º Semestre",2020,"Vestibular","2º Semestre","Formado",4.45,14.5026,"S","2008","09/07/2021","09/07/2021","F","Parda","Integral",1,15,90,"Física","Bacharelado","Formado",27,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2018,"1º Semestre",2018,"Sisu","2º Semestre","Desistência",0,5,"N","2008","18/07/2018","18/07/2018","F","Branca","Integral",1,1,6,"Física","Bacharelado","Desistência",28,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2022,"1º Semestre",2022,"Sisu","1º Semestre","Desistência",0,5,"S","2018","11/05/2022","11/05/2022","M","Branca","Integral",1,0,0,"Física","Bacharelado","Desistência",29,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2024,"1º Semestre",2025,"Sisu","1º Semestre","Desistência",0.89,2.9636,"N","2018","18/06/2025","18/06/2025","M","Branca","Integral",1,2,12,"Física","Bacharelado","Desistência",30,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2021,"1º Semestre",2021,"Sisu","2º Semestre","Desistência",6.8,6.086,"N","2018","16/03/2022","16/03/2022","M","Não quis declarar","Integral",1,1,6,"Física","Bacharelado","Desistência",31,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2019,"1º Semestre",2025,"Sisu","1º Semestre","Desligamento",4.68,4.6524,"N","2008","27/05/2025","27/05/2025","M","Branca","Integral",1,12,72,"Física","Bacharelado","Desligamento",32,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2011,"1º Semestre",2015,"Vestibular","1º Semestre","Desligamento: 3 reprovações em 1 disciplina",2.13,3.2368,"N","2008","22/04/2015","22/04/2015","M","Parda","Integral",1,8,48,"Física","Bacharelado","Desligamento",33,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2019,"1º Semestre",2023,"Sisu","1º Semestre","Desligamento: Resolução 68/2017-CEPE",0.92,2.9278,"S","2008","31/08/2023","31/08/2023","M","Parda","Integral",1,8,48,"Física","Bacharelado","Desligamento",34,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2021,"1º Semestre",2021,"Sisu","1º Semestre","Desistência",0.97,3.0882,"S","2018","29/10/2021","29/10/2021","M","Branca","Integral",1,0,0,"Física","Bacharelado","Desistência",35,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
