"","COD_CURSO","NOME_CURSO","AREA_CONHECIMENTO","ANO_EVASAO","PERIODO_EVASAO","FORMA_EVASAO","COTISTA","TIPO_COTA","SEXO","QTDE","ETNIA","FORMA_EVASAO_","FORMA_EVASAO_limpa","CURSO","MODALIDADE","SEXO_","ETNIA_","COTISTA_","QTDE_FORMADO","EVASAO","QTDE_TOTAL"
"1","10","Física","Programas básicos",2011,"1º Semestre","Desistência","Não Cotista","Ampla concorrência","Feminino",1,"Parda","Desistência","Desistência","Física","Programas Básicos","Feminino","Parda","Não Cotista",0,"Evadido",1
"2","10","Física","Programas básicos",2011,"1º Semestre","Desistência","Não Cotista","Ampla concorrência","Masculino",2,"Branca","Desistência","Desistência","Física","Programas Básicos","Masculino","Branca","Não Cotista",0,"Evadido",2
"3","10","Física","Programas básicos",2011,"1º Semestre","Desistência","Não Cotista","Ampla concorrência","Masculino",2,"Amarela","Desistência","Desistência","Física","Programas Básicos","Masculino","Amarela","Não Cotista",0,"Evadido",2
"4","10","Física","Programas básicos",2011,"1º Semestre","Desistência","Não Cotista","Ampla concorrência","Masculino",1,"Parda","Desistência","Desistência","Física","Programas Básicos","Masculino","Parda","Não Cotista",0,"Evadido",1
"5","10","Física","Programas básicos",2011,"1º Semestre","Desligamento por Abandono","Não Cotista","Ampla concorrência","Feminino",3,"Branca","Desligamento por Abandono","Desligamento","Física","Programas Básicos","Feminino","Branca","Não Cotista",0,"Evadido",3
"6","10","Física","Programas básicos",2011,"1º Semestre","Desligamento por Abandono","Não Cotista","Ampla concorrência","Feminino",1,"Parda","Desligamento por Abandono","Desligamento","Física","Programas Básicos","Feminino","Parda","Não Cotista",0,"Evadido",1
"7","10","Física","Programas básicos",2011,"1º Semestre","Desligamento por Abandono","Não Cotista","Ampla concorrência","Masculino",10,"Branca","Desligamento por Abandono","Desligamento","Física","Programas Básicos","Masculino","Branca","Não Cotista",0,"Evadido",10
"8","10","Física","Programas básicos",2011,"1º Semestre","Desligamento por Abandono","Não Cotista","Ampla concorrência","Masculino",2,"Preta","Desligamento por Abandono","Desligamento","Física","Programas Básicos","Masculino","Preta","Não Cotista",0,"Evadido",2
"9","10","Física","Programas básicos",2011,"1º Semestre","Desligamento por Abandono","Não Cotista","Ampla concorrência","Masculino",3,"Parda","Desligamento por Abandono","Desligamento","Física","Programas Básicos","Masculino","Parda","Não Cotista",0,"Evadido",3
"10","10","Física","Programas básicos",2011,"1º Semestre","Desligamento por Abandono","Cotista","Cotista tipo indefinido","Feminino",2,"Branca","Desligamento por Abandono","Desligamento","Física","Programas Básicos","Feminino","Branca","Cotista",0,"Evadido",2
"11","10","Física","Programas básicos",2011,"1º Semestre","Desligamento por Abandono","Cotista","Cotista tipo indefinido","Masculino",4,"Branca","Desligamento por Abandono","Desligamento","Física","Programas Básicos","Masculino","Branca","Cotista",0,"Evadido",4
"12","10","Física","Programas básicos",2011,"1º Semestre","Desligamento por Abandono","Cotista","Cotista tipo indefinido","Masculino",2,"Preta","Desligamento por Abandono","Desligamento","Física","Programas Básicos","Masculino","Preta","Cotista",0,"Evadido",2
"13","10","Física","Programas básicos",2011,"1º Semestre","Desligamento por Abandono","Cotista","Cotista tipo indefinido","Masculino",1,"Parda","Desligamento por Abandono","Desligamento","Física","Programas Básicos","Masculino","Parda","Cotista",0,"Evadido",1
"14","10","Física","Programas básicos",2011,"1º Semestre","Desligamento: 3 reprovações em 1 disciplina","Não Cotista","Ampla concorrência","Feminino",1,"Branca","Desligamento: 3 reprovações em 1 disciplina","Desligamento","Física","Programas Básicos","Feminino","Branca","Não Cotista",0,"Evadido",1
"15","10","Física","Programas básicos",2011,"1º Semestre","Desligamento: 3 reprovações em 1 disciplina","Não Cotista","Ampla concorrência","Feminino",1,"Não Declarada","Desligamento: 3 reprovações em 1 disciplina","Desligamento","Física","Programas Básicos","Feminino","Não Declarada","Não Cotista",0,"Evadido",1
"16","10","Física","Programas básicos",2011,"1º Semestre","Desligamento: 3 reprovações em 1 disciplina","Não Cotista","Ampla concorrência","Masculino",2,"Branca","Desligamento: 3 reprovações em 1 disciplina","Desligamento","Física","Programas Básicos","Masculino","Branca","Não Cotista",0,"Evadido",2
"17","10","Física","Programas básicos",2011,"1º Semestre","Desligamento: 3 reprovações em 1 disciplina","Cotista","Cotista tipo indefinido","Masculino",1,"Branca","Desligamento: 3 reprovações em 1 disciplina","Desligamento","Física","Programas Básicos","Masculino","Branca","Cotista",0,"Evadido",1
"18","10","Física","Programas básicos",2011,"1º Semestre","Desligamento: 3 reprovações em 1 disciplina","Cotista","Cotista tipo indefinido","Masculino",1,"Preta","Desligamento: 3 reprovações em 1 disciplina","Desligamento","Física","Programas Básicos","Masculino","Preta","Cotista",0,"Evadido",1
"19","10","Física","Programas básicos",2011,"1º Semestre","Desligamento: Descumpriu Plano de Estudos","Não Cotista","Ampla concorrência","Masculino",1,"Branca","Desligamento: Descumpriu Plano de Estudos","Desligamento","Física","Programas Básicos","Masculino","Branca","Não Cotista",0,"Evadido",1
"20","10","Física","Programas básicos",2011,"1º Semestre","Não Informado","Não Cotista","Ampla concorrência","Masculino",0,"Não Declarada","Não Informado","Formado","Física","Programas Básicos","Masculino","Não Declarada","Não Cotista",1,"Formado",1
"21","10","Física","Programas básicos",2011,"1º Semestre","Não Informado","Cotista","Cotista tipo indefinido","Masculino",0,"Parda","Não Informado","Formado","Física","Programas Básicos","Masculino","Parda","Cotista",1,"Formado",1
"22","10 B","Física - Bacharelado","Ciências naturais, matemática e estatística",2011,"1º Semestre","Desistência","Não Cotista","Ampla concorrência","Feminino",1,"Preta","Desistência","Desistência","Física","Bacharelado","Feminino","Preta","Não Cotista",0,"Evadido",1
"23","10 B","Física - Bacharelado","Ciências naturais, matemática e estatística",2011,"1º Semestre","Desistência","Não Cotista","Ampla concorrência","Feminino",1,"Parda","Desistência","Desistência","Física","Bacharelado","Feminino","Parda","Não Cotista",0,"Evadido",1
"24","10 B","Física - Bacharelado","Ciências naturais, matemática e estatística",2011,"1º Semestre","Desistência","Não Cotista","Ampla concorrência","Masculino",1,"Branca","Desistência","Desistência","Física","Bacharelado","Masculino","Branca","Não Cotista",0,"Evadido",1
"25","10 B","Física - Bacharelado","Ciências naturais, matemática e estatística",2011,"1º Semestre","Desistência","Não Cotista","Ampla concorrência","Masculino",2,"Preta","Desistência","Desistência","Física","Bacharelado","Masculino","Preta","Não Cotista",0,"Evadido",2
"26","10 B","Física - Bacharelado","Ciências naturais, matemática e estatística",2011,"1º Semestre","Desistência","Não Cotista","Ampla concorrência","Masculino",3,"Parda","Desistência","Desistência","Física","Bacharelado","Masculino","Parda","Não Cotista",0,"Evadido",3
"27","10 B","Física - Bacharelado","Ciências naturais, matemática e estatística",2011,"1º Semestre","Desistência","Cotista","Reserva","Masculino",1,"Parda","Desistência","Desistência","Física","Bacharelado","Masculino","Parda","Cotista",0,"Evadido",1
"28","10 B","Física - Bacharelado","Ciências naturais, matemática e estatística",2011,"1º Semestre","Desligamento por Abandono","Não Cotista","Ampla concorrência","Feminino",1,"Branca","Desligamento por Abandono","Desligamento","Física","Bacharelado","Feminino","Branca","Não Cotista",0,"Evadido",1
"29","10 B","Física - Bacharelado","Ciências naturais, matemática e estatística",2011,"1º Semestre","Desligamento por Abandono","Não Cotista","Ampla concorrência","Masculino",11,"Branca","Desligamento por Abandono","Desligamento","Física","Bacharelado","Masculino","Branca","Não Cotista",0,"Evadido",11
"30","10 B","Física - Bacharelado","Ciências naturais, matemática e estatística",2011,"1º Semestre","Desligamento por Abandono","Não Cotista","Ampla concorrência","Masculino",2,"Preta","Desligamento por Abandono","Desligamento","Física","Bacharelado","Masculino","Preta","Não Cotista",0,"Evadido",2
"31","10 B","Física - Bacharelado","Ciências naturais, matemática e estatística",2011,"1º Semestre","Desligamento por Abandono","Não Cotista","Ampla concorrência","Masculino",1,"Amarela","Desligamento por Abandono","Desligamento","Física","Bacharelado","Masculino","Amarela","Não Cotista",0,"Evadido",1
"32","10 B","Física - Bacharelado","Ciências naturais, matemática e estatística",2011,"1º Semestre","Desligamento por Abandono","Não Cotista","Ampla concorrência","Masculino",4,"Parda","Desligamento por Abandono","Desligamento","Física","Bacharelado","Masculino","Parda","Não Cotista",0,"Evadido",4
"33","10 B","Física - Bacharelado","Ciências naturais, matemática e estatística",2011,"1º Semestre","Desligamento por Abandono","Cotista","Cotista tipo indefinido","Masculino",1,"Branca","Desligamento por Abandono","Desligamento","Física","Bacharelado","Masculino","Branca","Cotista",0,"Evadido",1
"34","10 B","Física - Bacharelado","Ciências naturais, matemática e estatística",2011,"1º Semestre","Desligamento por Abandono","Cotista","Cotista tipo indefinido","Masculino",1,"Parda","Desligamento por Abandono","Desligamento","Física","Bacharelado","Masculino","Parda","Cotista",0,"Evadido",1
